profile_id,archetype,is_fraud,fraud_severity,case_type,niche,follower_count,following_count,posts_count,account_age_months,avg_likes,avg_comments,avg_views,engagement_rate,like_comment_ratio,follower_following_ratio,view_follower_ratio,growth_spike_score,audience_geo_mismatch,audience_real_ratio,comment_authenticity,profile_pic_flag,bio,sample_comments,post_caption,audience_note
BON-00023,lightly_boosted,0,35.8,normal,gaming,60413,1445,182,57,3060,51,105706,5.15,59.1,41.8,1.75,0.404,0.319,0.553,0.596,0,Gamer since 2015 sharing tips & tricks. Follow me for game guides!,Great tips! Always learning something new. || Just played your latest guide - awesome! || I love it when you explain games so clearly. || Thanks for sharing your knowledge about gaming!,Check out my new video - all about [game title]!,My audience loves game guides and quick playthroughs.
BON-00024,bought_engagement,1,62.4,masked_fraud,tech,59884,1919,1651,19,3948,43,173866,6.67,91.2,31.2,2.9,0.371,0.282,0.732,0.71,0,Tech lover shares daily tips & tricks. #techgeek #ITtips,Nice! || Awesome tech advice! || :) || Cheers! 🌟,How to secure your device in just 3 easy steps 👇,Tech enthusiasts and early adopters
BON-00025,authentic_organic,0,6.2,normal,parenting,69253,930,2525,17,4258,80,127970,6.26,53.0,74.5,1.85,0.129,0.181,0.874,0.805,0,Hi parenting lovers! I share tips & tricks to raise happy kids.,Great advice as always! || My kid loves your videos! || Always learning something new! || :) || Your posts make me a better parent!,Newbie tip: Start a bedtime routine for little ones!,My audience is moms who want to improve their parenting skills.
BON-00026,micro_real,0,9.2,normal,travel,2343,179,1286,28,222,6,5659,9.77,32.8,13.1,2.42,0.308,0.071,0.765,0.736,0,Excited to share our latest adventure! 🌍 Follow us for more epic travel tales.,That looks amazing! Can't wait to see it! || Love the vibrant colors! 🌈 || Every trip has its challenges but your style makes them fun. || Such beautiful scenery! You make me want to travel more!,Just arrived at our next destination - can't wait to start exploring! ✈️📸 #Travel #Adventure,My audience loves spontaneous trips and capturing every moment.
BON-00027,click_farm_audience,1,83.6,normal,fashion,195481,3301,44,32,2560,66,366429,1.34,38.4,59.2,1.87,0.656,0.73,0.37,0.407,0,Fashionista shares daily style tips & trends.,Just saw ur outfit today! Looks fab! || Love ur colorful bags - perfect touch! || Always on top with fashion news! || Gotta love these trendy boots!,Latest fashion trend roundup - can't wait to see what you all choose!,Audience consists mainly of young fashion enthusiasts seeking style inspiration.
BON-00028,click_farm_audience,1,57.5,normal,finance,219720,2093,62,24,9711,133,295166,4.48,72.9,105.0,1.34,0.539,0.618,0.495,0.549,0,Finance tips & tricks. Daily finance hacks - everyday gains.,@i_am_karma nice one! || €€€€💰💰💰 || 📈📈📈 keep up the good work! || 🚀🚀🚀 awesome!,🚀 Today's tip: Start Saving Early - It's a game changer!,Mainly young professionals and aspiring investors in their 20s and 30s.
BON-00029,bought_engagement,1,69.1,masked_fraud,fashion,54380,3617,65,113,4872,46,12958,9.05,105.4,15.0,0.24,0.19,0.324,0.766,0.725,0,Always shining in the latest trends - Fashionista here!,Nice style change! || Love your outfit! || Can't get enough of you! || Absolutely fab!,Here's to new beginnings & exciting looks ahead! 💃🏼✨,Audience loves bold fashion choices
BON-00030,bought_followers,1,90.0,normal,gaming,1168933,12245,126,6,67597,758,1346202,5.85,89.1,95.5,1.15,0.621,0.307,0.524,0.376,0,Playtest reviews & stream - 50K subs. Join the tribe!,LOL awesome vid! :-D || Great review - thanks! || Love your channel - keep it up! || Gaming time with you <3,🎮 New video live! 🔥 Playtest review coming up soon 🐝 🌟,Avid gamers and streamers
BON-00031,authentic_organic,0,13.7,normal,home decor,95285,2396,2853,96,6841,66,103945,7.25,103.6,39.8,1.09,0.303,0.301,0.977,0.757,0,Gorgeous home decor ideas & tips - living my passion!,"Love your DIY projects! 😊 || Such cozy vibes in your home! || Absolutely stunning, can't wait to try it out. || Great color palette! Makes me want to redecorate my space.",Welcome to my new living room! 🏡 #HomeDecor #LivingRoom,My audience loves unique home decor ideas and practical living room updates.
BON-00032,bought_engagement,1,63.9,normal,fashion,46937,2762,56,43,5075,35,91298,10.89,143.5,17.0,1.95,0.419,0.271,0.717,0.406,0,I'm @InfluencerFashionista - Fashionista to the people! #fashion #style #ootd #fashionblog,Yay! || Love it! || Awesome outfit! || @InfluencerFashionista you're fab!,OOTD 💃👗 #OOTD #fashionblog,My audience loves stylish women just like you.
BON-00033,viral_legit,0,22.0,normal,music,67566,1406,50,46,6744,59,44986,10.07,114.2,48.1,0.67,0.65,0.189,0.665,0.896,0,Eagerly sharing my love for indie-rock playlists - join me!,"So cool! Love your fresh picks! :-) || Great mix - perfect playlist for chillin'! || Your tracks are always so catchy, keep it up! || I can already imagine dancing to your new release! 🎶",Just dropped a new mixtape. Tune in & groove! 🎶,Audience loves indie-rock and enjoys discovering new artists
BON-00034,bought_engagement,1,72.4,normal,home decor,89418,2064,55,113,7614,49,89898,8.57,153.1,43.3,1.01,0.447,0.334,0.68,0.429,0,Gorgeous home decor ideas - your next favorite space.,Love it! || Great color combo! || I wish I could afford it! 😍,A new way to make any room feel special!,Primarily home decor enthusiasts and DIYers
BON-00035,viral_legit,0,37.5,normal,music,51227,722,998,100,4623,53,134326,9.13,85.9,71.0,2.62,0.673,0.176,0.817,0.78,0,Dance music lover & DJ. Music plays my life! 🎶✨,Oh man! That track lit me up tonight! 🌟🎶 || Absolutely stunning mix - love it so much! 👏🏼❤️ || Every song choice hits the spot! Can't wait for more 🎉🎶 || This was dope! Got me grooving in my seat! 🍻🎶,DJing at my favorite club tonight! 🎹🎤,My audience loves live performances and dance tracks.
BON-00036,micro_real,0,4.9,trap_clean,fashion,13409,856,65,115,1498,13,30711,11.28,108.3,15.7,2.29,0.497,0.304,0.762,0.619,0,Fashionista who loves to inspire and share styling tips.,Love your outfits! 🌟 || Can't get enough of your style! ❤️ || Gorgeous look - you rock it all the time! 💃 || You make everything stylish! 👍,Dressing up for a fun night out? Check out these chic looks!,A small community of fashion enthusiasts in the US
BON-00037,viral_legit,0,28.0,normal,food,836215,11071,451,110,93978,751,420924,11.33,125.0,75.5,0.5,0.738,0.184,0.827,0.81,0,Chef extraordinaire sharing recipes & local eats - #foodie journey,"OMG! That's exactly how I feel too! Love it! || So delicious looking - bookmarking for a meal tonight! || Yum yum, drooling already - can't wait to try it! || Just what the world needs - more mouthwatering photos!",Tried out @ChefXYZ's new recipe - here's my take on it #FoodieFaves,Primary target is food lovers in urban areas
BON-00038,engagement_pod,1,67.0,normal,gaming,124821,10474,77,53,9816,193,171448,8.02,50.9,11.9,1.37,0.366,0.136,0.741,0.622,0,Gaming Enthusiast - Sharing tips & tricks - Join us! #gamerlife,Love your gaming tips! || Check out my playlist! || Great game reviews! || Support me on YouTube!,Just released! My new video - Tips for winning the game! Watch now! 🎲🎮,"Audience loves gaming guides and tips - 80% male, 25-35 years old"
BON-00039,micro_real,0,14.2,trap_clean,gaming,13696,132,132,118,984,23,11674,7.36,41.9,103.8,0.85,0.46,0.504,0.648,0.673,0,Playtested to perfection - Join my world!,Love your stream! || Great tips on PS5! || Nice hat! 🙃 || Awesome game reviews!,Just got back from a new gaming zone! 🌐 #GamingLife,Small community of die-hard gamers passionate about every detail.
BON-00040,click_farm_audience,1,62.1,normal,finance,148566,3825,104,76,8026,95,276669,5.47,84.0,38.8,1.86,0.66,0.43,0.326,0.295,0,I share tips for investing in stocks & bonds.,"Great advice! Invest in blue chip stocks.-User123 || Learned something new today! Thanks a lot!-JaneF || Stocks are risky, safer in bonds I guess.-User456 || Always good to diversify investments.-MaryPoppins",How to spot a good stock tip- #investing tips,My audience consists mostly of beginners learning about investing.
BON-00041,ai_persona,1,83.2,masked_fraud,photography,65835,1499,933,41,4645,63,176875,7.15,73.5,43.9,2.69,0.397,0.219,0.834,0.687,1,Explores the magic of everyday moments in photos.,Love your vision! 🌟 || Absolutely stunning capture! 👍 || Your shots always bring me joy. || Can't wait to see more! ❤️,A snapshot from yesterday - capturing the beauty in small details. #PhotographyJourney #Inspiration,"My audience loves candid, relatable photography that brightens up their day."
BON-00042,viral_legit,0,13.4,normal,fitness,684793,61519,2086,11,60219,692,1941500,8.89,87.0,11.1,2.84,0.742,0.114,0.853,0.815,0,Fitness Enthusiast - Share your journey with me! #fitspo #motivation,OMG love it! Can't believe I did it too! || Great work! Feeling inspired to hit the gym harder. || Yay! So proud of you! Keep it up! || Awesome effort! Really motivates others.,Motivation Monday - Let's make this week count! 💪,Fitness lovers who want to share and support each other's journeys
BON-00043,viral_legit,0,16.7,normal,beauty,377689,5705,45,37,15169,268,664306,4.09,56.5,66.2,1.76,0.671,0.127,0.745,0.84,0,Radiant skin & makeup tips from your favorite beauty guru - @beautylover123,"Yay! I love seeing natural looks - so inspiring! || Wow, your glow really does come from the inside! || Always looking so fresh and flawless! || I can totally relate to your struggle with acne!",Spring into Spring with these easy makeup looks!,My audience loves skincare routines and subtle makeup transformations.
BON-00044,micro_real,0,5.9,normal,sports,20702,2471,78,92,2429,85,38700,12.15,28.3,8.4,1.87,0.442,0.168,0.812,0.732,0,The go-to spot for all things basketball. Let's talk hoops!,Love your game! || So pumped for your next game! || || Great shot! 👏,Watch my highlight reel! 🏀 #hoopslife,A small but very engaged community of basketball fans
BON-00045,bought_followers,1,84.5,normal,wellness,61197,771,139,19,1748,19,47267,2.89,88.5,79.4,0.77,0.602,0.426,0.47,0.455,0,Healthy living tips & lifestyle advice - Join me!,Good morning! :-) || Love your posts! || Great motivational post. || Inspiring!,Let's all stay happy & healthy today! 🌟 #wellness #motivation,Mainly young professionals interested in health and fitness
BON-00046,engagement_pod,1,45.8,normal,beauty,44109,993,2592,25,2335,61,44578,5.44,37.8,44.4,1.01,0.267,0.26,0.668,0.533,0,Radiant skin tips - follow to discover your glow! #beauty,"Love it! Follow me! || Your tips always make me look fresh. || Check out my skincare routine too! || Support back, thanks!","Springtime skincare routine - hydrate, detox & glow up! #springcleanse #hydrotonic",My audience loves natural beauty and simple tips.
BON-00047,ai_persona,1,87.1,normal,wellness,23389,750,75,17,1489,22,55512,6.47,66.2,31.2,2.37,0.386,0.587,0.587,0.429,1,Healthy living tips & routines.,"Great tips as always! || Love your content! || Yum, tasty recipes. || Nice post! 🌟",Starting my new fitness routine with a healthy smoothie.,Mainly women interested in health and nutrition.
BON-00048,micro_real,0,6.4,normal,music,2766,64,610,96,168,4,3959,6.26,37.5,43.2,1.43,0.283,0.253,0.896,0.81,0,Music lover - sharing my journey with indie bands.,"Love it! 🎶💖 || Great tunes here, cheers! || Awesome playlist! 👍 || Nice mixtape, keep rocking! 🎵",Check out this new mixtape - I've got some fresh tracks to share!,"A warm, loyal community passionate about indie music."
BON-00049,ai_persona,1,76.4,masked_fraud,finance,769016,14491,213,94,40936,694,1282251,5.41,58.9,53.1,1.67,0.485,0.345,0.743,0.748,1,Finance expert shares tips on saving & investing.,"Nice insight! 👍 || Always learning something new. || Great info, thanks! || I bookmarked this one!",How to Save More Money in Q1 - Easy Tips!,Audience is middle-aged professionals interested in personal finance.
BON-00050,micro_real,0,14.7,normal,comedy,8262,308,853,15,673,14,16969,8.34,45.4,26.8,2.05,0.324,0.267,0.707,0.929,0,"Laugh with me - daily jokes & fun clips, bringing joy to your feed.","Haha, love it! 😄 || Great content! Sharing soon! || Always on board. || Lmao, I'm laughing already!",New video! Laugh out loud together tonight!,Small but dedicated comedy lovers who can't get enough of the funniest bits
BON-00051,authentic_organic,0,1.9,normal,parenting,51489,644,358,67,2648,35,154463,5.21,75.1,80.0,3.0,0.203,0.215,0.764,0.812,0,Gentle parenting tips & stories - supporting parents just like you!,Great tips! Really helpful! || Thanks for your advice - very inspiring! || So true - it really helps. || Your posts always make me smile!,Discover how to make nap time a breeze with these simple hacks! 🌅💤 #naptimehacks,A mix of new and experienced parents seeking guidance and inspiration.
BON-00052,engagement_pod,1,76.3,normal,photography,39892,2855,109,33,3542,48,92018,9.0,72.9,14.0,2.31,0.31,0.367,0.696,0.616,0,"Renowned photographer sharing inspiring shots - love this, check out my page! #photography -",Love your angles - great shot! || Cute cat! That's sooo cute! || Absolutely stunning! Love it - || You've captured it perfectly - awesome!,Witness the beauty of everyday moments - share with me yours!,"My followers are lovers of art, nature, and lifestyle - they appreciate unique perspectives."
BON-00053,micro_real,0,0.0,trap_clean,fitness,3081,118,2929,48,356,5,846,11.72,70.7,26.1,0.27,0.349,0.195,0.817,0.676,0,Elevate your journey to fitness - I'm your guide! #motivation Monday #fitnessjourney,"Gotta love this feeling! 💪 || Every time, @FitLady 🌟 || Great work as always - awesome motivation! ✅ || Keep shining & sharing tips! 💡❤️",Ready to kick it up a notch? Try my new HIIT workout routine!,"A warm, loyal community of fitness enthusiasts seeking advice and motivation."
BON-00054,authentic_organic,0,9.3,normal,parenting,140500,6349,64,38,12588,128,314194,9.05,98.0,22.1,2.24,0.354,0.219,0.72,0.711,0,Parenting tips & advice from a happy mom who's been there.,"Good advice! Thanks for sharing your experience! || Love this, can relate to it so much! || So helpful - thanks for being real, love you! || I'm going to apply these changes in my life.",Weekly Q&A Session - Ask anything about parenting!,A community of new moms and dads looking for support.
BON-00055,lightly_boosted,0,46.2,normal,wellness,146351,2517,357,118,5347,49,64353,3.69,108.4,58.1,0.44,0.355,0.23,0.607,0.632,0,Holistic wellness expert sharing tips and tricks to live life well.,"Love your glow! 💆🏼‍♀️# || Yoga master, I totally agree! || So inspiring! 🌈💖 || Great advice, thanks for sharing!",Today's tip: prioritize rest & self-care. #wellnessjourney,My audience loves practical wellness tips and easy lifestyle changes.
BON-00056,engagement_pod,1,69.1,normal,gaming,79546,22296,297,85,5739,61,54906,7.29,94.0,3.6,0.69,0.344,0.309,0.867,0.441,0,Gamer and streamer - share tips & gear with over 2M followers!,"Love your picks, check out my gaming setup! || Great runthrough, thanks for the tips! || Awesome gameplay! Love it - follow me too. || Keep it up! Support by following me!",New review coming soon! Follow for more gaming goodness.,Targeted at avid gamers seeking tips and product recommendations.
BON-00057,lightly_boosted,0,11.9,trap_clean,wellness,44467,1334,87,39,3928,28,19179,8.9,137.0,33.3,0.43,0.343,0.37,0.723,0.542,0,Healthy living tips and recipes. Join my journey!,Great tips! || Love your content! || Thanks for sharing! || Inspiring!,"Stay hydrated, stay healthy! 🌿💧 #wellness #hydration",My audience loves healthy living and fitness.
BON-00058,micro_real,0,20.3,normal,beauty,3697,130,79,9,294,3,6050,8.08,76.1,28.4,1.64,0.324,0.265,0.861,0.726,0,Beauty enthusiast sharing daily makeup tips & tricks.,Love your skin tone! || Gorgeous look! 👍 || Such pretty colors! || Great makeup advice!,Spring makeup trends to try!,"A warm, engaged community of makeup lovers"
BON-00059,viral_legit,0,31.2,normal,parenting,128231,3110,373,110,9552,206,125708,7.61,46.3,41.2,0.98,0.676,0.176,0.764,0.615,0,Nurturing life's joys with practical tips - mom blogger & vlogger,LOVE IT! So heartwarming! || Great advice here! Thanks for sharing! || Real-life stories make it so relatable! || Can't agree more! Love it!,5 Tiny Changes That Transform Your Parenting Life! 🌟 #ParentingTips #LifeHacks,My audience loves practical parenting advice and real stories.
BON-00060,bought_followers,1,72.1,normal,fashion,587339,3639,140,40,28559,363,1284342,4.92,78.6,161.4,2.19,0.458,0.282,0.611,0.764,0,Curated style tips & daily outfit ideas - everyday fashion inspiration.,Love your picks! || Great styling ideas! || Perfect fit - I'm following you! || Can't wait for more ideas!,Dressing down with some cozy basics! #OOTD #CasualStyle,Audience loves relatable fashion advice and everyday wear tips.
BON-00061,bought_engagement,1,70.4,normal,food,24713,368,234,71,3713,35,32493,15.17,105.7,67.2,1.31,0.441,0.275,0.711,0.423,0,Feed my feed - yummy recipes & photos. Share your culinary creations!,Yum! Can't wait to try it! :-) || Love your colorful plates! 🌈 || Always on top with your recipes! #foodie || Looks so delicious! Can't wait to make it!,Check out my latest dish - Spicy Thai Green Curry <3,My audience loves trying new recipes and sharing their meals.
BON-00062,lightly_boosted,0,26.9,normal,parenting,32490,603,2391,65,676,7,91532,2.11,94.3,53.9,2.82,0.499,0.244,0.774,0.74,0,Hi parents! Sharing tips & laughs. #ParentingJourney,Great tips! Thanks for sharing. || I love how you connect with other parents. || Always on time with parenting advice. || So relatable! I'm a new parent.,Check out these parenting hacks that really work!,Our audience loves practical parenting advice.
BON-00063,bought_engagement,1,67.2,normal,tech,22835,413,125,30,1261,6,59795,5.55,192.6,55.3,2.62,0.354,0.354,0.664,0.455,0,Tech lover sharing tips on coding & gadgets - Join the tribe! #techgeek,Great tips here! -👍 || Love your tech insights! -😄 || Tech news from the best -😊 || Always learning -🚀,Unlock new coding languages - Start Coding Today!,Tech enthusiasts and coders looking to improve their skills
BON-00064,authentic_organic,0,3.6,normal,wellness,44943,1380,2848,45,1497,17,117398,3.37,87.8,32.6,2.61,0.302,0.177,0.771,0.793,0,Holistic wellness tips & lifestyle updates - Join me on my journey!,Love your approach to wellness! #healthylifestyle || Absolutely inspiring - always learning! || Thank you for sharing your wisdom. || Your tips are so helpful!,Daily routine to boost energy levels - let me know what works for you!,My audience loves balanced living and self-care.
BON-00065,bought_followers,1,66.5,normal,music,714925,12635,1779,62,26536,569,522993,3.79,46.6,56.6,0.73,0.418,0.709,0.531,0.749,0,Soothing jazz vibes - discover my playlists!,Love your playlist mix! 🎶 || #jazzforall - so chill! || Your jazz jams always hit the spot. || Great playlist! 🎵 #musiclove,DJing through time - your go-to jazz mix!,A mix of jazz lovers and music enthusiasts
BON-00066,lightly_boosted,0,22.8,normal,comedy,66938,3355,452,47,2987,34,21867,4.51,86.5,20.0,0.33,0.578,0.269,0.507,0.554,0,Laugh your ass off! Comedian sharing laughs with you daily.,"Hahaha, can't stop laughing! || OMG hilarious! || Love your jokes! :) || Great gig tonight! 🎤",Just got off stage after a wild show - you all made it so fun!,My target is anyone looking for a good laugh and a night of entertainment.
BON-00067,authentic_organic,0,14.0,normal,gaming,33597,663,76,107,1734,17,10380,5.22,97.2,50.7,0.31,0.094,0.314,0.812,0.803,0,Gamer and streamer - share tips on PC games & mods,Good game tips! Thanks bro! #GamingCommunity || I love your channel! You have such great knowledge. #StreamerSupport || Nice video - keep up the good work! :D #GamingFan || Great tips! Really helps me play better - thanks! #GameAdvice,New gameplay video! Check it out & let me know what you think! #GameTime,My audience loves gaming guides and new content.
BON-00068,micro_real,0,6.6,normal,home decor,2692,66,605,74,318,4,7312,12.02,67.5,40.8,2.72,0.276,0.213,0.717,0.697,0,Welcome to my cozy corner - your home decorating haven.,Love it! 😊 || Great color palette! 👍 || A true home style icon! || Your home has a vibe!,Inspiration overload! New color palette ideas to bring warmth into your space.,"A warm, engaged community loves sharing their homes with me."
